serialId,polishTitle,originalTitle,year,fullRating,voteCount,voteDate,userRating,favorite,comment
96139,Jetsonowie,The Jetsons,1962,6.71766,18244,1999-07-27,,nie,
96165,Smerfy,Smurfs,1981,7.82168,53072,1999-07-16,,nie,
96092,Gumisie,The Gummi Bears,1985,7.60699,43345,1999-06-24,,nie,
117463,Królik Bugs przedstawia,The Bugs Bunny Show,1960,7.70006,12549,1999-06-20,,nie,
210385,Banany w piżamach,Bananas in Pyjamas,1992,4.38462,26,1999-06-17,,nie,
95053,Nowe przygody Kubusia Puchatka,The New Adventures of Winnie the Pooh,1988,7.59804,6951,1999-02-19,,nie,
96111,Mała syrenka,The Little Mermaid,1992,7.19692,2534,1999-02-17,,nie,
119826,Muminki,Tanoshii Moomin Ikka,1990,7.55839,44748,1998-10-25,,nie,
96157,Flintstonowie,The Flintstones,1960,7.19654,27134,1997-07-19,,nie,
10003459,Dmuchacze szkła: Święta,Blown Away: Christmas,2021,6.65455,110,2024-04-12,7,nie,
875459,Farma Clarksona,Clarkson's Farm,2021,8.59694,7314,2021-12-26,8,nie,
10005700,Bo Burnham: Inside,Bo Burnham: Inside,2021,8.25865,2370,2021-00-00,8,nie,
770786,Szymon Majewski Show,Szymon Majewski Show,2005,5.42797,1673,2006-06-17,,nie,
770683,Odpicuj mi brykę,Pimp My Ride,2004,6.17054,774,2005-07-19,,nie,
848400,Jeden z dziesięciu,Jeden z dziesięciu,1994,8.40162,2724,2004-06-17,,nie,
770715,Kuba Wojewódzki,Kuba Wojewódzki,2002,5.75115,5891,2003-05-16,,nie,
