gameId,polishTitle,originalTitle,year,fullRating,voteCount,voteDate,userRating,favorite
797247,Civilization VI: Rise and Fall,Civilization VI: Rise and Fall,2018,7.85354,198,2019-11-26,,nie
613245,Tropico 4,Tropico 4,2011,7.33572,977,2019-11-25,,nie
816518,The Outer Worlds,The Outer Worlds,2019,6.99577,1656,2019-10-31,8,nie
774649,Frostpunk,Frostpunk,2018,7.86999,1923,2019-09-24,8,nie
736724,Titanfall 2,Titanfall 2,2016,7.82523,2346,2019-07-22,8,nie
820418,Beat Saber,Beat Saber,2018,8.62403,258,2019-05-09,,nie
765302,Civilization VI,Civilization VI,2016,7.74593,2519,2018-10-24,,nie
612048,BioShock Infinite,BioShock Infinite,2013,8.25519,11376,2018-09-03,7,nie
729227,What Remains of Edith Finch,What Remains of Edith Finch,2017,8.11132,2677,2018-09-02,9,nie
738588,Subnautica,Subnautica,2018,7.78143,1217,2018-08-18,9,nie
788192,Wolfenstein II: The New Colossus,Wolfenstein II: The New Colossus,2017,7.66338,3452,2018-06-18,,nie
745054,Inside,Inside,2016,8.21405,3275,2018-06-11,8,nie
785356,Call of Duty: WWII,Call of Duty: WWII,2017,7.23427,3607,2017-12-15,8,nie
784733,FIFA 18,FIFA 18,2017,7.10766,2833,2017-11-15,,nie
722477,Cities: Skylines,Cities: Skylines,2015,7.96925,2667,2017-06-23,,nie
706017,This War of Mine,This War of Mine,2014,7.99352,5096,2017-06-19,,nie
715189,Undertale,Undertale,2015,8.55225,2689,2017-05-31,9,tak
725886,Dishonored 2,Dishonored 2,2016,7.94083,2738,2017-04-10,8,nie
739049,Wiedźmin 3: Dziki Gon - Serca z kamienia,Wiedźmin 3: Dziki Gon - Serca z kamienia,2015,9.48677,31298,2017-03-04,9,nie
739050,Wiedźmin 3: Dziki Gon - Krew i wino,Wiedźmin 3: Dziki Gon - Krew i wino,2016,9.53945,29000,2017-03-04,8,nie
608443,Heroes of Might and Magic III: Ostrze Armagedonu,Heroes of Might and Magic III: Armageddon's Blade,1999,9.13514,18766,2017-03-04,,nie
608442,Heroes of Might and Magic III: Odrodzenie Erathii,Heroes of Might and Magic III: The Restoration of Erathia,1999,9.18324,39205,2017-03-04,,nie
718884,The Walking Dead: A New Frontier,The Walking Dead: A New Frontier,2016,7.31687,3301,2016-12-30,6,nie
761862,FIFA 17,FIFA 17,2016,7.41433,3951,2016-11-17,,nie
637885,The Witness,The Witness,2016,7.46837,664,2016-10-24,8,nie
624526,Doom,Doom,2016,8.00532,4886,2016-10-18,8,nie
744329,Hitman,Hitman,2016,7.60562,2386,2016-07-16,,nie
705298,Batman: Arkham Knight,Batman: Arkham Knight,2015,8.16039,7407,2016-06-19,,nie
680266,Proteus,Proteus,2013,5.02128,141,2016-04-19,,nie
714351,Rise of the Tomb Raider,Rise of the Tomb Raider,2015,7.95834,11042,2016-03-19,6,nie
720567,Life is Strange,Life is Strange,2015,8.5568,19120,2016-02-28,8,tak
724536,Firewatch,Firewatch,2016,7.58992,4165,2016-02-10,7,nie
741033,FIFA 16,FIFA 16,2015,7.16607,3920,2015-10-26,,nie
709888,Plague Inc: Evolved,Plague Inc: Evolved,2014,7.11313,990,2015-08-25,,nie
678629,Wiedźmin 3: Dziki Gon,Wiedźmin 3: Dziki Gon,2015,9.58577,64252,2015-08-24,9,tak
665140,FTL: Faster Than Light,FTL: Faster Than Light,2012,7.93619,862,2015-08-19,8,nie
628804,Fez,Fez,2012,7.7042,977,2015-07-20,,nie
680152,Cities XL Platinum,Cities XL Platinum,2013,6.05618,89,2015-07-19,,nie
694664,SimCity: Miasta przyszłości,SimCity: Cities of Tomorrow,2013,7.26667,90,2015-07-19,,nie
684060,Poker Night 2,Poker Night 2,2013,6.95968,124,2015-07-19,,nie
710190,Call of Duty: Advanced Warfare ,Call of Duty: Advanced Warfare ,2014,6.97389,3179,2015-01-08,8,nie
647447,SimCity,SimCity,2013,6.66242,2509,2014-11-25,7,nie
714150,FIFA 15,FIFA 15,2014,7.50845,5027,2014-11-16,,nie
680088,Antichamber,Antichamber,2013,7.96667,600,2014-10-04,10,tak
695571,The Walking Dead: Season Two,The Walking Dead: Season Two,2013,8.32503,10799,2014-08-27,8,nie
612091,Psychonauts,Psychonauts,2005,7.86982,868,2014-07-22,8,nie
608730,Dark Messiah: Might and Magic,Dark Messiah: Might and Magic,2006,7.53761,2433,2014-06-30,,nie
611278,Poker Night at the Inventory,Poker Night at the Inventory,2010,6.51786,112,2014-06-24,,nie
704831,The Walking Dead: 400 Days ,The Walking Dead: 400 Days ,2013,6.86979,3456,2014-06-24,,nie
608021,Limbo,Limbo,2010,7.95564,9152,2014-06-20,8,nie
608733,Company of Heroes: Kompania braci,Company of Heroes,2006,8.28363,2676,2014-06-16,,nie
656508,Beyond: Dwie dusze,Beyond: Two Souls,2013,7.97278,10692,2014-06-10,6,nie
642590,The Last of Us,The Last of Us,2013,9.11769,29799,2014-06-09,9,tak
616864,DmC: Devil May Cry,DmC: Devil May Cry,2013,7.6837,4325,2014-06-09,8,nie
624440,Grand Theft Auto V,Grand Theft Auto V,2013,8.83496,50606,2014-06-07,8,tak
611449,Guitar Hero: World Tour,Guitar Hero: World Tour,2008,7.89849,926,2014-05-23,,nie
613045,MotorStorm: Pacific Rift,MotorStorm: Pacific Rift,2008,7.63534,266,2014-05-16,,nie
635488,Syndicate,Syndicate,2012,6.34808,520,2013-11-26,6,nie
688673,The Wolf Among Us,The Wolf Among Us,2013,8.36292,9440,2013-11-18,9,nie
623829,Cities XL 2012,Cities XL 2012,2011,6.79389,131,2013-10-30,,nie
684014,FIFA 14,FIFA 14,2013,7.68524,6624,2013-10-19,,nie
611452,Guitar Hero: Warriors of Rock,Guitar Hero: Warriors of Rock,2010,8.31808,459,2013-08-28,,nie
